_id,name,scheduleTime,time,shift,activityOrder,records[0],records[1],records[2],records[3],records[4],records[5],records[6],_class
67120dd277c2145c2da8ae8c,OWD 1 (10:30 AM - 11.00 AM)   /t24share/TPHSharedFolder/LNKCLROutput,15.27,Fri Oct 18 12:57:14 IST 2024,Morning-Weekday-Normal,21,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57071""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57148""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95ae""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9685""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e975c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9833""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f5b""}}",com.ncinga.backend.documents.Activities
67120dd277c2145c2da8ae8d,T24 - MCS Cheque Outward Return File Transfer (11:10 AM),15.28,Fri Oct 18 12:57:14 IST 2024,Morning-Weekday-Normal,22,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57072""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57149""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95af""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9686""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e975d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9834""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f5c""}}",com.ncinga.backend.documents.Activities
67120dd277c2145c2da8ae8e,IWD 2  (11 AM - 12PM) - /t24share/TPHSharedFolder/LNKCLRInput,15.29,Fri Oct 18 12:57:14 IST 2024,Morning-Weekday-Normal,23,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57073""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5714a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b0""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9687""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e975e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9835""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f5d""}}",com.ncinga.backend.documents.Activities
67120dd277c2145c2da8ae8f,Upload Inward Returns (CITS) -  /t24share/TPHSharedFolder/LKCITSInput,15.30,Fri Oct 18 12:57:14 IST 2024,Morning-Weekday-Normal,24,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57074""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5714b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b1""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9688""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e975f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9836""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f5e""}}",com.ncinga.backend.documents.Activities
67120dd677c2145c2da8ae9f,OWD 2 (1:00 PM) -/t24share/TPHSharedFolder/LNKCLROutput,15.31,Fri Oct 18 12:57:18 IST 2024,Morning-Weekday-Normal,25,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57075""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5714c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b2""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9689""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9760""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9837""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f5f""}}",com.ncinga.backend.documents.Activities
67120dd777c2145c2da8aea0,IWD 3 (2:30 PM) - /t24share/TPHSharedFolder/LNKCLRInput,15.11,Fri Oct 18 12:57:19 IST 2024,Morning-Weekday-Normal,26,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57076""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5714d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b3""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e968a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9761""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9838""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f60""}}",com.ncinga.backend.documents.Activities
671a097a590e42511112fe80,Credit Card Statements submission check,,Thu Oct 24 14:16:50 IST 2024,Mid-Weekday-Normal,1,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57077""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5714e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b4""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e968b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9762""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e9839""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f61""}}",com.ncinga.backend.documents.Activities
671a097a590e42511112fe81,Bulk and Personalized card upload,,Thu Oct 24 14:16:50 IST 2024,Mid-Weekday-Normal,2,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57078""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca5714f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b5""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e968c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9763""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e983a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f62""}}",com.ncinga.backend.documents.Activities
67120dd777c2145c2da8aea1,T24 - MCS CRN FILE (02.00PM - 02.30PM),,Fri Oct 18 12:57:19 IST 2024,Mid-Weekday-Normal,3,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca57079""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57150""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b6""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e968d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9764""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e983b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f63""}}",com.ncinga.backend.documents.Activities
67120dd777c2145c2da8aea2,Market Value Update process (04.30PM),,Fri Oct 18 12:57:19 IST 2024,Mid-Weekday-Normal,4,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5707a""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57151""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b7""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e968e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9765""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e983c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f64""}}",com.ncinga.backend.documents.Activities
67120dd877c2145c2da8aea3,SkyLease Batch Recovery & Receipt Upload Process (04.30PM),,Fri Oct 18 12:57:20 IST 2024,Mid-Weekday-Normal,5,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5707b""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57152""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b8""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e968f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9766""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e983d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f65""}}",com.ncinga.backend.documents.Activities
67120dd877c2145c2da8aea4,OWD 3 - (05.00PM) -  /t24share/TPHSharedFolder/LNKCLROutput,,Fri Oct 18 12:57:20 IST 2024,Mid-Weekday-Normal,7,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5707c""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57153""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95b9""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9690""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9767""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e983e""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f66""}}",com.ncinga.backend.documents.Activities
67120dd877c2145c2da8aea5,Kill All Limo Processes before TRS EOD,,Fri Oct 18 12:57:20 IST 2024,Mid-Weekday-Normal,8,"{""$ref"":""records"",""$id"":{""$oid"":""67bd94a3d3eb390e9ca5707d""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bd95e7d3eb390e9ca57154""}}","{""$ref"":""records"",""$id"":{""$oid"":""67bfd91f0f098a7b551e95ba""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c034e60f098a7b551e9691""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c031010f098a7b551e9768""}}","{""$ref"":""records"",""$id"":{""$oid"":""67c044840f098a7b551e983f""}}","{""$ref"":""records"",""$id"":{""$oid"":""67e422f4a388352d48a27f67""}}",com.ncinga.backend.documents.Activities
